City,SKU,January,February,March,April,May,June,July,August,September,October,November,December,Annual Demand
Arlington,T-054,128,147,196,160,220,162,186,193,172,182,186,141,2073
Atlanta,AC014,26,30,48,148,86,133,133,93,71,82,43,25,918
Atlanta,AC016,80,67,94,81,84,73,109,73,64,90,99,69,983
Atlanta,AC043,69,83,83,76,119,67,98,82,69,64,51,70,931
Atlanta,AC056,120,133,100,21,30,2,13,12,59,60,128,125,803
Atlanta,DR017,54,28,57,63,73,56,83,92,84,44,58,51,743
Atlanta,DR021,39,22,43,64,78,95,135,118,85,39,34,50,802
Atlanta,DR063,37,32,52,84,58,129,120,132,64,30,59,46,843
Atlanta,DR086,38,48,58,79,62,125,98,155,82,61,26,37,869
Atlanta,HA023,138,147,159,65,25,27,9,15,24,74,133,152,968
Atlanta,HA024,104,55,100,93,64,79,65,68,58,71,87,75,919
Atlanta,HA030,69,90,71,62,76,90,68,81,74,77,91,56,905
Atlanta,HA035,72,61,87,55,111,64,56,77,80,56,82,93,894
Atlanta,JA005,93,105,66,28,29,23,34,60,79,30,134,137,818
Atlanta,JA018,104,135,55,32,28,44,41,101,58,138,114,111,961
Atlanta,JA032,115,107,78,23,27,36,26,72,67,137,129,129,946
Atlanta,JA037,84,115,105,47,37,42,40,68,108,141,84,119,990
Atlanta,JA084,122,114,96,25,26,31,28,91,87,135,112,104,971
Atlanta,JE011,66,97,69,62,86,56,56,76,62,70,66,67,833
Atlanta,JE012,74,58,78,59,72,99,83,87,75,83,89,64,921
Atlanta,JE041,76,67,70,71,75,83,73,72,71,84,81,68,891
Atlanta,JE067,85,79,78,73,67,97,95,95,68,79,68,69,953
Atlanta,JE087,71,83,65,65,72,101,76,73,69,75,82,75,907
Atlanta,SH001,80,86,81,70,65,96,62,70,73,73,61,92,909
Atlanta,SH004,38,24,30,85,139,92,94,102,54,35,36,33,762
Atlanta,SH010,60,55,69,72,82,100,70,84,105,86,81,74,938
Atlanta,SH027,26,48,48,89,123,155,115,114,71,31,34,34,888
Atlanta,SH031,14,10,15,55,81,161,161,140,87,7,11,11,753
Atlanta,SH033,109,158,80,18,14,11,24,7,16,73,112,162,784
Atlanta,SH055,27,41,35,89,86,103,134,110,75,38,34,32,804
Atlanta,SH074,23,25,29,92,99,136,103,106,58,41,42,42,796
Atlanta,SH075,30,36,24,84,116,109,114,99,68,38,29,35,782
Atlanta,SH098,83,98,82,72,79,69,102,91,78,71,89,72,986
Atlanta,SK003,75,83,69,88,101,55,83,82,69,70,105,84,964
Atlanta,SK015,66,77,90,78,51,100,77,98,72,55,71,69,904
Atlanta,SK092,65,71,70,87,74,98,98,87,78,62,78,76,944
Atlanta,SW002,117,82,95,61,61,19,8,8,63,107,141,106,868
Atlanta,SW007,99,132,96,75,77,18,16,23,88,135,93,87,939
Atlanta,SW029,124,127,103,69,85,24,8,17,58,117,113,108,953
Atlanta,SW036,127,93,156,91,74,24,10,10,93,118,95,137,1028
Atlanta,SW061,106,138,106,71,88,16,18,9,86,133,100,120,991
Atlanta,T-006,74,71,94,79,89,68,92,108,84,34,63,72,928
Atlanta,T-009,73,101,84,74,63,69,106,70,57,30,69,55,851
Atlanta,T-022,77,76,91,63,80,91,65,64,57,77,94,60,895
Atlanta,T-025,77,73,73,79,86,68,72,71,81,82,94,64,920
Atlanta,T-054,69,80,103,78,77,85,95,70,70,84,84,65,960
Austin,AC014,150,144,188,646,450,640,649,573,450,356,172,126,4544
Austin,AC016,337,293,436,349,456,386,403,313,281,409,376,313,4352
Austin,AC043,354,376,377,324,481,371,438,442,369,366,272,375,4545
Austin,AC056,78,98,57,124,121,8,70,63,39,33,79,56,826
Austin,DR017,283,132,278,331,392,306,310,444,355,167,228,214,3440
Austin,DR021,163,133,192,320,395,485,671,639,317,174,157,185,3831
Austin,DR063,169,123,293,435,345,569,479,567,288,149,284,254,3955
Austin,DR086,184,218,246,432,284,667,523,666,443,272,112,199,4246
Austin,HA023,58,98,87,334,107,119,38,68,13,43,79,58,1102
Austin,HA024,416,270,393,406,369,330,347,400,266,296,429,339,4261
Austin,HA030,374,406,366,335,376,361,331,361,334,422,449,309,4424
Austin,HA035,361,375,368,325,447,273,352,323,363,259,480,409,4335
Austin,JA005,56,44,38,147,127,134,166,345,50,21,58,78,1264
Austin,JA018,63,65,37,142,120,208,196,372,35,85,67,64,1454
Austin,JA032,58,50,55,129,153,135,111,313,35,106,81,102,1328
Austin,JA037,75,71,65,206,209,175,192,268,52,106,51,62,1532
Austin,JA084,73,69,61,137,122,185,167,379,45,76,53,62,1429
Austin,JE011,349,419,303,298,340,331,281,360,340,376,333,338,4068
Austin,JE012,380,322,382,292,291,369,356,347,394,360,395,353,4241
Austin,JE041,394,413,272,327,397,414,298,331,322,382,408,409,4367
Austin,JE067,399,302,305,412,314,364,398,373,314,374,296,351,4202
Austin,JE087,321,399,283,339,426,450,413,288,280,378,371,344,4292
Austin,SH001,383,434,472,324,286,361,323,351,314,328,320,451,4347
Austin,SH004,150,135,132,413,600,473,521,494,298,153,177,164,3710
Austin,SH010,325,291,261,381,426,390,296,391,427,397,414,291,4290
Austin,SH027,136,190,185,393,523,612,653,472,373,170,167,173,4047
Austin,SH031,56,45,63,293,393,658,653,607,418,39,51,46,3322
Austin,SH033,56,94,36,96,69,57,106,40,8,47,74,83,766
Austin,SH055,116,174,173,356,423,467,560,600,407,176,160,178,3790
Austin,SH074,114,144,131,355,426,620,479,436,321,161,160,169,3516
Austin,SH075,130,168,113,494,636,408,691,509,365,158,161,176,4009
Austin,SH098,410,428,433,367,334,364,428,377,377,305,427,289,4539
Austin,SK003,349,386,368,451,435,334,392,382,387,330,444,324,4582
Austin,SK015,360,317,350,320,252,408,350,423,362,295,425,368,4230
Austin,SK092,280,394,343,362,375,406,456,408,383,348,372,473,4600
Austin,SW002,63,59,54,383,371,111,48,40,38,79,61,73,1380
Austin,SW007,64,57,59,356,440,99,72,117,32,76,71,59,1502
Austin,SW029,86,59,71,288,344,100,41,73,30,62,68,83,1305
Austin,SW036,76,70,79,431,346,104,52,49,37,67,60,65,1436
Austin,SW061,42,67,59,381,439,70,77,50,57,61,70,79,1452
Austin,T-006,307,321,448,423,313,376,423,440,440,171,317,346,4325
Austin,T-009,334,441,335,437,359,327,404,355,312,127,311,314,4056
Austin,T-022,322,311,383,298,379,347,371,369,281,304,442,266,4073
Austin,T-025,413,317,416,387,349,293,265,370,339,343,424,280,4196
Austin,T-054,264,324,436,347,382,345,424,342,318,359,402,306,4249
Baltimore,AC014,44,52,56,224,134,173,225,138,119,102,60,39,1366
Baltimore,AC016,101,107,107,101,153,126,143,109,78,133,127,70,1355
Baltimore,AC043,98,111,131,106,132,96,104,129,88,103,80,110,1288
Baltimore,AC056,136,213,123,31,32,2,26,16,85,119,167,185,1135
Baltimore,DR017,92,45,97,99,93,119,91,124,112,63,65,72,1072
Baltimore,DR021,70,36,58,105,142,143,201,212,88,61,50,60,1226
Baltimore,DR063,60,33,93,126,85,199,125,190,85,40,70,85,1191
Baltimore,DR086,63,60,72,109,102,216,138,167,148,84,40,50,1249
Baltimore,HA023,150,158,235,105,31,36,13,20,24,85,174,204,1235
Baltimore,HA024,138,94,99,150,116,93,98,106,91,88,134,98,1305
Baltimore,HA030,120,113,93,99,123,98,80,118,96,150,145,107,1342
Baltimore,HA035,134,93,87,112,119,90,94,92,125,75,142,141,1304
Baltimore,JA005,157,162,121,49,31,45,61,106,125,52,143,195,1247
Baltimore,JA018,160,232,79,35,37,55,64,103,99,161,139,120,1284
Baltimore,JA032,139,146,134,36,47,46,35,106,100,175,253,166,1383
Baltimore,JA037,124,177,148,67,61,57,63,99,158,187,129,199,1469
Baltimore,JA084,128,139,118,37,37,50,39,132,124,145,154,176,1279
Baltimore,JE011,82,136,72,77,109,98,91,111,117,125,122,127,1267
Baltimore,JE012,100,110,102,105,92,148,119,105,120,138,132,109,1380
Baltimore,JE041,108,118,89,99,152,115,97,80,86,115,124,129,1312
Baltimore,JE067,117,106,78,100,93,127,113,112,103,120,100,96,1265
Baltimore,JE087,101,122,99,111,126,151,113,81,101,132,125,92,1354
Baltimore,SH001,97,144,148,78,83,99,108,99,101,87,103,142,1289
Baltimore,SH004,52,33,38,114,190,184,178,168,102,48,47,43,1197
Baltimore,SH010,100,85,81,93,122,106,92,116,153,133,122,102,1305
Baltimore,SH027,39,65,64,107,143,223,181,165,124,47,56,45,1259
Baltimore,SH031,17,10,16,94,152,215,213,162,149,13,18,12,1071
Baltimore,SH033,191,195,96,28,23,15,41,14,23,122,141,168,1057
Baltimore,SH055,31,45,53,94,144,133,176,198,151,59,44,47,1175
Baltimore,SH074,31,46,49,134,151,179,156,135,81,50,51,49,1112
Baltimore,SH075,40,48,43,159,180,152,228,138,107,60,47,47,1249
Baltimore,SH098,101,107,142,105,83,98,108,133,111,104,108,97,1297
Baltimore,SK003,114,108,92,124,138,87,106,107,112,100,139,92,1319
Baltimore,SK015,108,118,98,96,84,136,85,132,128,89,141,110,1325
Baltimore,SK092,81,143,108,119,105,134,124,126,117,114,133,136,1440
Baltimore,SW002,129,139,171,122,106,29,12,15,83,157,184,175,1322
Baltimore,SW007,115,195,154,108,143,26,22,31,91,154,123,153,1315
Baltimore,SW029,151,159,160,72,129,30,12,27,105,180,162,216,1403
Baltimore,SW036,228,142,215,123,118,41,15,14,110,185,112,176,1479
Baltimore,SW061,120,198,214,127,123,22,24,12,96,183,170,174,1463
Baltimore,T-006,99,77,115,118,108,131,108,141,110,46,113,115,1281
Baltimore,T-009,87,146,122,128,92,98,154,85,72,33,95,107,1219
Baltimore,T-022,115,86,101,108,128,128,119,127,95,96,151,105,1359
Baltimore,T-025,141,92,117,133,122,99,92,121,113,119,143,85,1377
Baltimore,T-054,95,122,120,90,112,84,113,97,82,126,136,85,1262
Boston,AC014,101,88,122,370,244,429,408,368,260,215,125,91,2821
Boston,AC016,187,210,250,200,234,243,302,197,175,253,219,182,2652
Boston,AC043,217,234,221,214,301,241,213,258,202,222,184,242,2749
Boston,AC056,355,343,245,74,78,6,42,41,193,204,426,308,2315
Boston,DR017,181,77,182,214,207,204,225,265,252,105,152,123,2187
Boston,DR021,116,72,120,173,262,337,423,415,210,102,90,127,2447
Boston,DR063,104,81,150,286,186,380,288,407,210,95,172,162,2521
Boston,DR086,124,152,155,265,160,390,324,413,260,182,73,120,2618
Boston,HA023,335,405,383,199,63,73,26,40,65,173,404,383,2549
Boston,HA024,273,192,256,262,217,217,221,223,179,188,274,194,2696
Boston,HA030,210,226,182,209,209,242,204,215,216,261,279,180,2633
Boston,HA035,223,204,201,193,249,196,226,201,208,177,260,277,2615
Boston,JA005,322,363,200,87,89,82,106,225,267,95,304,429,2569
Boston,JA018,393,512,166,83,81,123,123,236,167,353,290,277,2804
Boston,JA032,296,378,254,85,98,94,78,172,194,458,413,402,2922
Boston,JA037,273,408,295,124,127,93,128,192,279,463,312,376,3070
Boston,JA084,335,290,250,79,81,110,94,220,256,372,297,327,2711
Boston,JE011,212,247,186,194,199,172,210,233,232,208,227,246,2566
Boston,JE012,215,200,242,195,165,251,213,236,271,250,247,214,2699
Boston,JE041,252,225,162,208,258,232,199,192,182,264,267,246,2687
Boston,JE067,265,175,191,247,197,228,245,257,193,255,211,248,2712
Boston,JE087,173,231,161,179,242,275,253,213,216,219,247,239,2648
Boston,SH001,240,282,285,211,193,215,207,197,187,172,195,285,2669
Boston,SH004,93,77,83,251,351,326,306,288,211,99,97,112,2294
Boston,SH010,199,194,160,219,247,245,181,234,253,242,243,174,2591
Boston,SH027,90,129,120,238,366,381,378,306,211,108,100,113,2540
Boston,SH031,42,24,38,155,253,407,412,379,238,24,34,29,2035
Boston,SH033,334,376,211,53,40,34,72,25,53,243,319,412,2172
Boston,SH055,71,104,122,221,273,320,392,366,250,102,95,105,2421
Boston,SH074,65,80,80,275,273,355,328,250,190,112,112,106,2226
Boston,SH075,80,89,69,277,418,294,326,276,218,90,106,111,2354
Boston,SH098,227,296,291,254,207,223,269,223,222,192,270,173,2847
Boston,SK003,188,273,220,274,262,181,260,221,219,199,255,192,2744
Boston,SK015,218,197,231,199,169,243,231,263,251,194,247,216,2659
Boston,SK092,174,250,217,229,224,241,264,255,239,231,239,251,2814
Boston,SW002,294,276,329,232,199,64,30,26,176,343,358,348,2675
Boston,SW007,292,364,307,218,270,55,41,72,209,347,301,314,2790
Boston,SW029,323,312,332,190,238,65,26,48,201,332,358,389,2814
Boston,SW036,467,361,402,231,204,71,30,29,284,296,310,416,3101
Boston,SW061,252,340,366,268,290,46,52,32,224,329,310,327,2836
Boston,T-006,202,186,288,263,215,238,250,233,241,108,222,231,2677
Boston,T-009,204,272,200,287,231,203,259,205,174,91,215,170,2511
Boston,T-022,187,188,246,192,232,247,224,235,195,191,271,163,2571
Boston,T-025,287,214,257,253,197,174,193,236,241,195,244,164,2655
Boston,T-054,172,238,272,213,243,199,261,211,200,191,243,188,2631
Charlotte,AC014,151,139,183,688,424,670,669,509,356,360,174,136,4459
Charlotte,AC016,335,294,385,332,389,356,378,311,272,385,376,292,4105
Charlotte,AC043,349,364,400,323,393,368,359,358,321,311,274,341,4161
Charlotte,AC056,472,563,356,116,122,8,66,59,287,331,659,545,3584
Charlotte,DR017,277,111,264,345,375,317,345,403,355,168,209,200,3369
Charlotte,DR021,172,115,168,275,421,466,670,607,366,182,149,179,3770
Charlotte,DR063,158,116,264,425,325,552,470,525,294,156,230,245,3760
Charlotte,DR086,180,207,233,439,278,567,500,642,454,290,120,197,4107
Charlotte,HA023,528,555,643,317,99,109,37,72,95,318,588,601,3962
Charlotte,HA024,414,261,384,429,347,326,352,328,269,292,408,307,4117
Charlotte,HA030,327,367,339,301,323,347,335,372,320,396,409,306,4142
Charlotte,HA035,361,314,318,299,391,290,295,307,364,259,399,362,3959
Charlotte,JA005,478,532,304,139,128,125,165,340,442,158,511,730,4052
Charlotte,JA018,582,738,253,128,124,185,161,370,289,535,523,429,4317
Charlotte,JA032,500,478,368,100,155,134,120,300,267,704,684,523,4333
Charlotte,JA037,461,606,439,173,175,152,177,281,394,616,456,570,4500
Charlotte,JA084,453,475,382,123,128,172,155,384,378,490,454,489,4083
Charlotte,JE011,297,371,257,309,332,311,303,333,316,340,310,364,3843
Charlotte,JE012,322,327,373,283,260,384,325,349,425,351,385,340,4124
Charlotte,JE041,426,358,265,289,411,388,291,296,278,364,376,327,4069
Charlotte,JE067,378,295,274,346,306,387,338,361,308,402,329,361,4085
Charlotte,JE087,296,399,294,322,401,458,410,307,301,374,346,349,4257
Charlotte,SH001,377,387,459,292,271,367,301,319,319,272,313,441,4118
Charlotte,SH004,139,111,123,419,542,542,502,476,328,157,166,163,3668
Charlotte,SH010,330,261,265,357,402,394,307,401,422,384,385,304,4212
Charlotte,SH027,131,178,202,400,504,640,626,465,393,166,168,164,4037
Charlotte,SH031,63,38,60,250,405,660,609,567,421,36,57,43,3209
Charlotte,SH033,498,614,292,98,62,57,110,35,74,348,541,655,3384
Charlotte,SH055,120,166,174,376,370,466,565,581,385,162,164,161,3690
Charlotte,SH074,126,148,132,393,425,572,542,453,295,149,172,156,3563
Charlotte,SH075,117,164,115,441,596,420,625,497,297,165,148,155,3740
Charlotte,SH098,332,389,425,338,319,381,385,423,293,295,374,265,4219
Charlotte,SK003,328,427,349,406,415,294,402,355,383,313,413,328,4413
Charlotte,SK015,329,328,327,304,265,359,314,414,356,289,428,373,4086
Charlotte,SK092,268,354,312,386,351,410,379,340,374,326,365,376,4241
Charlotte,SW002,467,443,553,341,334,112,47,36,306,510,551,535,4235
Charlotte,SW007,426,501,506,311,392,98,65,107,323,520,451,471,4171
Charlotte,SW029,532,491,527,277,347,102,40,82,303,454,485,611,4251
Charlotte,SW036,641,487,641,374,308,104,45,50,406,491,429,578,4554
Charlotte,SW061,416,495,540,423,413,68,70,46,368,549,528,489,4405
Charlotte,T-006,303,304,387,375,357,359,391,378,450,176,316,321,4117
Charlotte,T-009,304,386,308,445,321,288,406,320,257,137,298,290,3760
Charlotte,T-022,320,280,411,291,376,348,353,332,275,311,428,260,3985
Charlotte,T-025,404,316,391,340,339,299,299,357,307,328,431,255,4066
Charlotte,T-054,271,311,439,338,376,305,403,373,288,349,406,284,4143
Chicago,AC014,292,277,360,1149,839,1224,1262,979,811,619,318,237,8367
Chicago,AC016,625,597,812,626,793,640,778,637,522,776,697,522,8025
Chicago,AC043,677,689,707,633,907,672,820,818,633,627,586,697,8466
Chicago,AC056,969,1151,718,229,229,15,137,117,586,632,1159,1012,6954
Chicago,DR017,492,254,526,629,717,627,679,777,694,322,430,392,6539
Chicago,DR021,356,229,340,534,803,940,1246,1210,679,326,299,397,7359
Chicago,DR063,341,241,497,788,635,1122,845,1122,578,289,487,496,7441
Chicago,DR086,351,448,447,804,516,1284,885,1193,797,535,223,360,7843
Chicago,HA023,984,1097,1260,639,204,214,70,135,184,583,1215,1145,7730
Chicago,HA024,771,530,703,820,637,639,681,624,527,570,822,552,7876
Chicago,HA030,638,724,658,631,655,660,593,683,619,769,815,546,7991
Chicago,HA035,681,602,620,609,822,544,587,631,630,528,779,724,7757
Chicago,JA005,883,1011,597,274,249,235,311,636,801,311,1025,1312,7645
Chicago,JA018,1162,1355,496,255,246,364,338,767,533,1146,905,820,8387
Chicago,JA032,933,1021,765,234,284,269,241,526,572,1385,1373,1125,8728
Chicago,JA037,902,1080,811,369,342,315,357,547,767,1263,838,1074,8665
Chicago,JA084,920,952,768,249,240,325,313,715,722,1070,819,902,7995
Chicago,JE011,628,728,514,527,654,556,537,623,645,671,676,679,7438
Chicago,JE012,663,613,715,562,522,763,653,682,813,718,775,746,8225
Chicago,JE041,752,749,491,531,797,792,558,547,549,748,748,709,7971
Chicago,JE067,765,614,576,742,642,745,694,750,549,822,605,728,8232
Chicago,JE087,609,723,501,607,740,850,796,604,560,672,655,689,8006
Chicago,SH001,724,807,797,597,532,719,571,641,561,617,666,834,8066
Chicago,SH004,295,228,245,816,1017,968,936,875,576,300,326,311,6893
Chicago,SH010,628,505,531,626,780,761,546,776,764,734,749,583,7983
Chicago,SH027,252,356,362,755,1029,1263,1148,925,692,326,296,307,7711
Chicago,SH031,113,72,119,544,837,1214,1227,1165,759,76,98,85,6309
Chicago,SH033,1029,1209,619,180,131,107,203,78,140,755,1073,1231,6755
Chicago,SH055,234,335,340,666,792,959,1076,1081,785,317,323,308,7216
Chicago,SH074,227,249,252,724,756,998,952,867,632,287,319,292,6555
Chicago,SH075,215,286,220,796,1173,815,1134,1008,643,293,281,302,7166
Chicago,SH098,713,812,864,722,674,674,748,742,625,596,792,508,8470
Chicago,SK003,587,753,669,787,808,552,758,713,750,637,780,644,8438
Chicago,SK015,660,619,668,629,527,763,604,759,721,531,767,691,7939
Chicago,SK092,491,744,596,735,696,703,752,730,705,651,690,824,8317
Chicago,SW002,961,878,948,660,669,196,83,75,556,1028,1147,1067,8268
Chicago,SW007,836,987,956,604,776,176,132,202,661,1029,879,893,8131
Chicago,SW029,1118,1035,921,516,658,194,72,154,600,980,953,1190,8391
Chicago,SW036,1215,1019,1269,756,576,199,95,88,770,996,772,1185,8940
Chicago,SW061,797,1081,1181,783,824,128,151,85,653,926,936,1022,8567
Chicago,T-006,582,522,787,780,696,712,800,806,744,356,610,612,8007
Chicago,T-009,637,807,609,833,689,538,767,618,578,257,659,566,7558
Chicago,T-022,641,581,715,523,762,673,638,651,565,550,785,534,7618
Chicago,T-025,821,667,802,666,664,553,565,715,671,611,768,508,8011
Chicago,T-054,549,630,772,621,743,606,740,705,552,654,733,547,7852
Cleveland,AC014,20,16,23,80,60,71,96,56,47,46,25,17,557
Cleveland,AC016,45,37,41,34,58,44,54,46,36,45,52,30,522
Cleveland,AC043,42,52,53,42,55,43,48,48,40,35,36,51,545
Cleveland,AC056,63,83,44,13,12,1,8,8,33,47,71,74,457
Cleveland,DR017,29,17,39,45,50,35,47,58,36,24,27,26,433
Cleveland,DR021,20,14,28,42,55,59,79,92,49,26,23,28,515
Cleveland,DR063,18,13,30,55,45,57,63,58,40,18,33,33,463
Cleveland,DR086,21,32,27,63,36,83,73,84,52,34,16,19,540
Cleveland,HA023,70,85,86,42,11,14,5,8,13,31,62,89,516
Cleveland,HA024,54,39,44,41,50,38,38,40,34,39,56,43,516
Cleveland,HA030,40,46,42,41,36,49,37,45,46,54,60,38,534
Cleveland,HA035,45,43,48,33,46,40,40,32,39,28,61,41,496
Cleveland,JA005,49,72,35,17,17,15,19,35,48,21,57,105,490
Cleveland,JA018,83,88,29,16,16,23,24,57,41,69,75,61,582
Cleveland,JA032,62,57,47,16,20,16,17,30,37,101,90,72,565
Cleveland,JA037,70,56,42,26,21,20,21,36,61,79,45,82,559
Cleveland,JA084,50,71,49,16,13,17,16,55,56,75,62,56,536
Cleveland,JE011,37,56,30,37,50,31,39,37,36,43,41,38,475
Cleveland,JE012,35,43,43,35,40,40,37,46,57,44,44,43,507
Cleveland,JE041,40,44,31,43,45,44,32,39,32,46,44,53,493
Cleveland,JE067,40,46,35,42,49,58,46,53,37,44,44,47,541
Cleveland,JE087,34,41,30,42,42,59,46,34,46,41,50,36,501
Cleveland,SH001,51,57,46,39,32,44,39,44,34,29,33,61,509
